"","canc1","canc2","canc3","canc4","canc5","canc6","canc7","canc8","canc9","canc10","canc11","canc12","canc13","canc14","canc15","canc16","canc17","canc18","canc19","canc20","canc21","canc22","canc23","canc24","canc25"
"gene592",0.96,0.05,-0.78,-2.64,0.98,-1.23,-0.72,-1.31,-1.46,-0.21,0.69,-0.84,-0.68,1.15,-1.47,-0.3,-0.56,-0.16,0.4,-0.89,0.97,-2.38,-0.36,-1.23,-0.08
"gene593",1.67,0.34,0.09,-0.65,0.73,-0.3,-1.18,-1.19,0.55,1.56,1.45,-0.99,1.09,-0.93,-0.66,0.45,-0.23,0.1,2.16,0.96,0.06,-1.12,0.12,0.92,-0.33
"gene594",0.66,2.01,0.94,0.18,0.95,-0.74,1.32,-0.87,0.43,3.53,1.45,-0.8,0.77,-0.57,1.83,0.1,1.13,-1.39,-0.58,-0.81,0.74,1.62,-0.3,-0.5,-0.11
"gene595",0.68,-0.23,-0.97,0.5,0.46,0.01,-1.02,0.38,0.27,-0.94,1.08,-1.48,0.93,2.1,-2.83,0.39,0.03,0.46,0.8,1.1,0.47,0.79,-1.58,-0.57,-1.09
"gene596",0.98,-1.7,0.82,1.09,-0.28,1.12,-0.24,-1.77,2.04,-0.96,-1.64,0.74,-0.4,-0.61,-0.59,1.78,0.95,0.68,1.22,-1.35,-0.84,-1.15,0.4,0.27,0.86
"gene597",-0.43,1.58,-0.08,0.12,0.05,0.17,0.39,-0.51,0.39,-1.76,0.28,-0.3,0.44,1.1,0.69,-0.22,1.14,-0.48,-0.14,-1.79,0.65,-0.85,-1.46,-0.18,-0.57
"gene598",1.73,-0.5,2.43,-0.11,0.36,-1.04,0.96,0.16,-1.28,-0.68,-0.15,-0.57,-0.4,0.35,0.1,-0.3,-0.52,0.64,1.04,0.59,-1.28,-1.6,-1.22,0.15,0.09
"gene599",-0.13,0.58,-0.15,-0.96,0.76,0.95,-0.71,-0.54,1.2,-0.27,-1.69,-0.15,-0.28,-0.38,-1.14,1.46,1.15,1.37,-0.74,0.12,0.14,-1.24,0.18,-0.81,-0.47
"gene600",-2.58,0.9,-0.65,-0.45,-0.38,-1.15,0.19,0.13,-2.67,1.11,-0.23,-0.33,-0.44,0.01,1.1,-0.39,-0.11,-0.57,0.48,-0.42,-0.23,0.18,1.98,0.13,-0.77
"gene601",-0.51,-0.34,-0.85,-0.38,0.7,-1.57,-0.32,-0.58,-0.91,1.03,-0.94,0.67,0.56,0.08,-0.64,-0.03,-0.78,0.09,-0.53,0.99,0.08,-1.13,1.54,0.94,-0.49
"gene602",0.23,-0.94,1.49,0.55,-1.4,-0.17,0.83,-0.16,-0.66,1.44,0.51,0.19,-1.96,-1.73,0.27,-1.35,-0.42,-0.33,0.25,-0.17,1.29,0.08,0.98,0.42,0.23
"gene603",1.08,0.27,0.69,0.56,0.03,-0.72,0.77,0.59,1.69,-0.41,-0.42,-0.07,-0.23,-0.2,1.1,0.92,0.01,-0.38,-0.41,0.62,0.88,0.77,0.22,-1.61,-1.82
"gene604",0.38,-1.82,-0.69,3.22,-0.79,-1.45,-0.76,0.8,-0.73,-0.1,0.02,1.18,-0.78,0.17,1.42,0.08,-0.92,1.06,-0.71,-0.23,0.71,-0.25,1.21,1.15,-1.04
"gene605",-0.43,0.74,-0.88,-0.92,-1.01,-0.72,1.05,-0.16,0.5,0.06,-0.34,-0.3,0.02,-0.13,1.81,1.14,-0.01,0.2,0.51,0.32,-0.62,0.15,-0.11,1.39,-0.28
"gene606",-0.17,2.62,0.93,-0.1,-1.6,-1.69,0.03,-0.14,-0.45,1.59,-0.59,0.77,-1.32,-1.24,-1.9,0.18,0.31,0,0.51,-0.49,1.31,-1.59,-0.71,-0.31,-0.19
"gene607",-1.55,-1.34,-0.2,1.51,0.65,0.33,-1.92,-0.21,0.18,-0.93,1.34,0.07,1.74,-0.68,1.43,-0.66,1.96,-1.02,1.51,0.05,0.78,0.67,-0.2,0.5,0.52
"gene608",0.94,-0.72,-1.54,0.1,0.47,0.8,-0.6,0.79,-0.28,0.21,0.09,1.72,-0.59,-0.68,-0.02,-0.31,0.02,-0.24,0.46,-0.36,1.91,-1.01,0.01,0.92,0.11
"gene609",-0.75,-1.08,-1.87,-1.31,-1.22,-0.27,-0.23,1.27,0.34,0.36,-0.17,1.38,2.2,-3.54,1.3,0.04,1.22,-0.35,-0.81,0.97,1.36,-0.49,-1.67,0.7,-3.17
"gene610",0.42,0.67,-1.11,-0.87,0.84,0.15,1.75,1.89,0.38,-0.15,1.08,0.57,-1.52,-0.27,2.01,0.08,-0.24,0.46,-0.97,-1.6,-0.11,-1.21,-0.14,-1.09,0.61
"gene611",0.68,0.04,-0.69,-0.22,-0.98,-2.34,0.24,0.84,-0.91,0.13,0.47,-0.98,-1.94,-0.21,0.33,-0.31,-1.18,0,1.34,-0.89,0.21,-1.58,1.23,0.5,-0.21
"gene612",-0.42,0.63,-0.41,-0.87,-0.51,0.85,-0.11,-1.52,0.34,0.37,-0.18,-0.63,1.45,1.05,-1.08,-0.27,-1.67,0.15,0.75,-1.92,1.25,-0.06,2.52,0.22,0.17
"gene613",0.18,-1.36,0.67,-1.05,0.58,-0.61,-0.38,0.32,-1.15,0.21,-0.56,-0.16,-0.66,0.09,0.72,-0.72,0.41,-0.26,0.49,0.61,0.24,0.61,0.18,0.09,-0.05
"gene614",-1.05,0.07,0.65,-0.95,-0.23,1.12,-0.76,-0.89,-1.11,-0.08,0.14,-0.29,0.94,-0.07,-0.12,1.46,-1.18,-0.41,0.32,-1.71,-0.52,-1.55,0.08,0.61,-1.9
"gene615",-0.92,-1.5,0.76,0.09,1.45,-0.6,0.46,-0.07,0.31,-0.75,0.24,0.01,1.58,-0.45,0.36,2.99,0.31,-0.63,-1.44,0.66,0.31,-0.03,0.73,-1.3,-0.11
"gene616",-1.98,1.93,-0.04,0.42,-0.85,0.53,-0.15,0.78,1.03,1.51,-0.68,0.1,-0.89,-0.33,0.19,0.33,1.41,1.07,-0.16,0.35,0.05,1.62,0.47,-0.6,1.79
"gene617",1.78,0.88,-0.51,-0.41,0.48,-0.39,0.57,-0.02,-1.18,-0.73,-1.06,0.54,1.6,1.08,-0.84,-0.5,0.62,1.16,-1.4,0.68,0.06,0.73,-0.46,-1.21,-0.97
"gene618",-0.19,-0.67,1.77,-1.07,-0.63,-1.3,0.15,2.4,-1.77,0.97,-0.37,0.35,-0.94,0.24,1.49,0.95,0.34,0.09,0.18,-0.02,0.83,-0.86,0.01,-0.12,-1.41
"gene619",1.05,0.04,-0.37,-0.49,0.37,-1.26,-1.42,-0.95,0.39,0.1,0.98,2.15,-0.25,-1.58,1.1,-1.11,-1.16,1.09,0.37,0.35,-2.71,-1.57,-0.43,-0.54,0.77
"gene620",-0.18,-0.64,-0.09,1.2,-0.2,0.35,-0.02,-0.77,1.49,0.62,1.03,-0.32,0.97,-1.05,-0.05,0.81,-1.36,0.8,2.3,0.69,1.45,0.49,1.68,-0.54,0.99
"gene621",-0.89,2.42,-0.38,0.66,-0.97,-1.39,-0.76,-0.1,-1.45,-0.59,-0.56,0.58,-0.22,-0.11,-0.01,1.03,0.49,0.91,1.45,0.46,-1.12,-0.28,-0.11,-0.2,1.02
"gene622",-1.14,-0.1,-0.91,1.64,-0.7,-1.27,-1.31,-0.3,-0.31,-0.93,-0.83,0.43,-0.55,-1.79,2.27,-0.16,0.34,1.2,1.22,-2.07,0.89,1.26,1.42,2.06,-0.09
"gene623",0.21,0.57,-0.87,-0.82,-0.74,-1.58,1.1,-0.33,0.79,0.29,-0.26,-1.02,2.03,-0.82,-1.05,-0.3,-0.23,0.44,-0.67,0.73,0.13,-0.07,-1.05,-0.31,-1.53
"gene624",1.06,0.77,0.47,1.42,-0.08,0.59,0.25,1.04,-0.75,-2.12,-1.1,-0.7,-0.52,-1.1,-0.5,1.64,-0.84,-0.01,1.1,0.1,0.78,0.23,0.72,0.46,-0.78
"gene625",-0.22,1.56,-0.54,-0.26,0.54,-1.39,-1.19,0.41,1.62,-1.57,0.66,-1.12,-0.65,-0.98,-1.33,-0.37,0.38,0.66,-0.32,-0.46,-0.16,-0.47,-0.84,-1.86,0.61
"gene626",0.85,-0.72,-0.33,-0.13,-0.41,2.19,-1.12,-0.06,0.43,0.69,0.12,1.33,-0.46,1.36,-0.96,-1.37,1.14,0.69,0.02,-0.18,-0.8,-0.15,-0.8,-0.18,0.86
"gene627",0.67,-0.78,0.21,-1.47,0.26,-0.88,-1.3,3,-0.46,-0.09,-0.41,0.29,-0.27,-0.52,-0.04,-2.26,2.05,-0.34,-0.29,0.2,-0.14,-0.75,-0.86,-1.35,-0.68
"gene628",0.24,0.1,0.06,-0.39,-0.32,0.82,0.1,0.72,-0.11,0.62,-1.56,-0.95,0.85,1.97,-0.28,-1.56,0.33,1.12,1.77,0.72,0.64,-0.12,0.36,0.29,-0.26
"gene629",-0.72,1.61,0.16,-0.07,-0.33,1.29,-0.37,-1.04,1.09,-0.53,-1.13,0.75,0.14,-0.57,0.52,-0.44,-1.52,0.9,-1.44,-1.88,-0.31,0.48,0.17,0.94,0.84
"gene630",0.92,-2.22,-1.02,0.82,0.71,-0.5,-0.6,-0.72,0.74,0.28,-2.79,0.94,-0.08,0.26,-0.65,-0.38,-1.2,1.42,-0.35,-0.86,0.06,-1.57,1.29,0.89,0.66
"gene631",-0.37,-0.24,-0.66,-0.77,-1.45,0.69,0.54,-0.23,1.34,0.49,1.6,1.38,-0.08,0.86,-0.49,0.59,-0.1,-1.9,1.36,0.23,-0.27,-0.45,-0.16,-0.83,0.33
"gene632",0.54,0.92,1.08,1.07,-0.4,-0.04,0.21,-1.86,0.14,0.93,0.11,-0.11,1.41,0.21,0.82,-0.47,-0.19,-1.16,-1.47,-0.6,0.69,0.97,-0.11,-1.84,0.82
"gene633",-0.34,-0.05,-0.12,-0.3,0.29,0.21,0.48,-0.48,1.68,1.28,-0.43,2,-1.64,-1.03,-0.16,0.8,-0.96,0.38,-1.17,0.68,0.03,-1.07,-0.8,-0.28,-0.62
"gene634",-0.34,0.1,2.12,-0.62,0.04,-0.87,0.83,-0.75,1.02,-2.45,1.18,-2.05,0.3,-0.91,1.25,-3.46,1.87,0.21,-0.07,-2.19,0.61,-1.3,-0.79,1.78,0.42
"gene635",1.03,0.53,-0.38,0.39,1.1,0.69,-0.22,-1.36,0.01,-0.62,0.82,-1.86,0.5,0.31,-0.33,-0.59,-2.47,0.98,0.3,0.98,-0.13,-0.56,-2.12,0.6,0.21
"gene636",-0.85,0.47,0.48,2.59,1.04,-0.52,-0.85,-1.1,-1.11,-0.03,-0.34,1.55,-0.57,0.12,0.09,1.55,1.19,-0.35,-0.02,-0.8,0.95,-0.49,0.65,0.48,0.38
"gene637",-1.42,-0.68,0.09,0.07,-0.15,0.13,1.49,-1.27,-0.08,-2.11,0.01,-1.95,0.19,-0.91,1.01,-0.43,-0.24,1.75,-0.36,-0.49,1.37,-1.21,-0.22,0.33,1.67
"gene638",-0.12,-1.41,-1.18,-1.23,-1.86,1.48,0.34,-0.07,0.42,-1.98,-0.56,-0.51,-0.19,1.32,0.36,0.39,-0.3,-0.17,-2.25,-0.4,0.98,-0.35,-0.03,0.81,-0.52
"gene639",-0.94,-0.41,-1.16,1.67,-1.08,0.3,1.38,0.74,0.53,1.34,-0.3,0.84,0.39,0.8,-0.35,1.08,-0.57,0.03,0.25,0.39,-0.83,-2.29,0.35,-0.99,-0.32
"gene640",0.37,0.92,0.67,0.16,-0.31,0.36,-0.81,0.39,-1.41,-0.46,0.82,0.64,0.3,0.63,1.51,-0.62,0.54,-0.45,-0.37,0.92,0.69,0.87,0.29,0.51,1.15
"gene641",1.31,-1.49,0.03,-0.93,0.73,0.91,2.9,0.16,-0.19,1.33,-0.12,0.11,1.8,0.18,-0.33,0.6,-1.12,1.33,-0.6,-0.7,1.07,-0.07,-0.89,-1.28,-0.57
"gene642",0.22,-0.1,0.25,-2.26,-0.21,-0.29,0.96,0.66,-0.32,-1.21,-1.02,1.76,0.01,0.06,0.22,1.09,0.5,-0.44,0.08,2.35,-0.96,-0.07,-0.83,-1.29,1.1
"gene643",-1.52,-0.46,0.22,1.4,1.31,-0.42,-0.72,0.08,0.71,0.32,0.77,-0.29,0.13,-0.69,-2.13,1.3,-0.47,-1.22,0.72,-0.92,0.46,-0.81,-0.79,0.16,0.67
"gene644",-1.77,-0.65,0.76,-0.45,0,-0.44,1.75,0.28,-0.72,0.9,0.51,-0.28,0.03,0.66,-1.11,-1.7,-0.04,-0.37,0.72,0,-0.08,-1.64,0,-0.87,-0.49
"gene645",-0.46,-0.04,-0.62,0.73,1.61,-0.03,-0.37,-1.71,0.11,-0.09,-0.95,1.22,0.54,-0.06,0.15,0.1,-0.09,-1.24,0.88,-1.07,1.45,0.14,-0.55,-0.22,0.5
"gene646",0.98,-1.17,0.53,1.9,-1.99,1.2,-1.96,-0.51,-0.88,-0.17,0.22,0.03,1.81,-0.62,0.76,-0.54,0.96,0.28,-0.28,-0.52,0.54,-0.19,0.04,0.09,0.24
"gene647",-0.99,0.69,0.6,-0.53,-0.46,1,0.72,-0.35,1,-1.04,0.87,1.32,-0.15,0.74,-0.05,-0.04,-0.06,-1.07,1.04,2.52,-1.42,-0.19,-0.48,-0.12,0.57
"gene648",-0.12,1.45,1.61,0.07,-1.37,-1.39,0.08,-0.94,-0.1,1.65,0.73,0.95,-0.53,-0.99,-0.08,0.21,-0.03,0.08,-2.2,-0.92,0.09,0.97,0.72,-0.07,-0.2
"gene649",1.28,1.25,1.13,-0.23,-0.53,-0.6,-1.17,-1.86,0.67,-1.02,-1.02,-0.23,-0.16,0.2,-0.69,0.4,1.01,1.03,0.5,-1.79,-0.38,0.36,-0.31,0.38,-1.85
"gene650",0.39,-0.38,-1.32,0.04,-0.92,1.36,0.12,0.03,1.53,-0.06,0.9,-1.27,-0.43,1.23,-1.67,1.03,0.31,1.48,-0.53,0.29,-0.68,-0.74,1.12,-0.42,-0.2
"gene651",-0.22,-1.77,2.19,1.5,0.81,-0.69,0.73,0.76,-2.82,0.34,1.03,0.69,-1.03,1.05,0.37,1.93,-0.87,-0.12,-0.8,-0.28,-1.03,-0.35,-1.35,-0.78,1.71
"gene652",0.97,-1.38,-1.19,2.09,-2.18,-0.55,-0.51,-0.55,0.05,-0.56,1.21,1.17,-0.57,-0.39,-0.18,0.19,-1.06,-0.32,0.98,-0.07,0.63,-0.71,-1.11,-2.41,2.63
"gene653",3.1,3.2,0.84,2.22,3.81,1.14,1.89,-0.75,2.95,1.32,2.94,0.98,0.62,2.4,3.35,-1.08,2.28,0.31,1.72,-0.13,1.47,0.5,1.69,3.13,1.06
"gene654",0.11,-0.01,0.51,0.5,1.08,-0.69,-1.11,2.41,1.38,-1.68,-0.51,-1.32,1.96,0.42,1.29,-0.12,0.73,-0.54,-0.99,-0.4,0.46,-1.14,-0.24,-0.11,-1.71
"gene655",-0.23,-1.45,0.47,0.43,0.38,-1.03,-0.91,-0.47,-1.99,-1.72,0.09,0.58,-1.1,-0.64,-1.07,0.99,-0.62,-1.57,1.47,0.52,0.57,0.36,-0.32,0.87,0.32
"gene656",0.64,1.4,-0.49,-0.33,-1.45,-0.71,0.56,-1.98,-1.25,0.85,-0.99,0.21,0.62,0.7,0.29,0.88,0.5,-0.02,-0.06,-1.23,0.47,-0.3,-0.19,0.92,-0.17
"gene657",1.52,0.94,1.79,0.57,-0.18,-0.68,0.57,-2.09,0.35,0.45,-1.11,0.29,0.25,0.04,0.09,-0.82,-0.98,0.24,0.11,1.55,-0.45,1.66,-1.39,-1.24,-0.21
"gene658",-0.3,1.71,0.83,1.5,-1.44,-1.56,1.33,-0.36,0,0.83,-0.12,-1.19,0.38,-0.34,1.14,0.27,-1.08,-1.68,-1.62,-0.52,-0.2,0.76,-0.13,-0.28,-0.78
"gene659",0.82,0.31,-1.09,0.06,-0.98,-0.78,-0.52,-2.02,-0.02,-1.23,0.24,-1.75,-0.87,0.63,-1.91,-0.27,2.56,-1.03,-1.75,-0.24,2.48,0.33,0.76,-2.05,-1.32
"gene660",-0.6,0.08,-0.8,0.7,-0.55,2.54,2.03,0.36,-0.28,0.15,0.04,1.65,0.34,1.51,0.67,2.56,0.19,0.05,1.05,-0.16,-0.93,-0.29,-0.38,-0.6,0.68
"gene661",-0.17,0.02,-0.39,-0.23,1.28,-0.49,1.11,0.35,-0.97,0.79,-0.03,-0.33,0.35,0.27,-1.67,-0.38,-0.6,-0.36,-0.15,-0.91,0.76,1.42,-0.27,-0.86,-1.29
"gene662",0.21,1.47,-0.84,0.19,-1.97,0.24,-1.39,0.68,0.9,0.16,0.87,0.5,-1.26,-0.45,-0.62,0.26,0.38,0.26,1.01,1.2,-0.74,0.86,1.03,0.1,-1.63
"gene663",3.19,0.05,0.66,-0.03,0.83,1.05,0.37,-0.55,-0.13,0.05,-2.4,0.32,0.11,-0.53,1.74,-0.65,0.11,1.46,2.51,0.61,0.54,-1,2.31,0.81,-0.26
"gene664",-0.92,-0.24,0.72,0.4,0.84,-0.69,-0.04,-0.89,0.65,0.54,0.98,-1.5,0.01,0.99,1.56,-0.51,-0.58,0.53,0.12,0.36,0.15,0.16,-0.17,0.36,0.63
"gene665",0.29,0.9,-0.81,0.06,0.24,1.73,1.11,-1.52,-0.16,-1.66,0.64,-1.4,-0.11,-2.21,-1.21,0.64,-2.04,-1.74,0.2,-0.83,1.61,0.13,0.55,-0.67,-2.06
"gene666",-1.2,-1.6,1.49,1.41,0.86,-0.2,-0.87,0.75,-0.73,0.23,-1.03,-1.55,-0.64,-0.57,-1.11,-0.18,0,-1.48,-0.51,-0.28,0.96,1.16,1.3,-0.83,-2.42
"gene667",0.02,1.03,0.05,-1.05,0.33,-0.23,0.94,-0.8,-0.89,0.12,-0.05,-0.62,0.86,-1.62,-0.36,-1.55,-0.41,0.25,-0.22,0.64,-0.63,1.1,1.45,0.6,-0.9
"gene668",-0.02,1.3,-1.31,-0.4,-0.32,-0.62,-1.52,-1,-0.77,-1.16,-1.91,1.77,1.37,-0.41,1.02,-0.49,-0.29,1.04,-0.84,-0.04,-1.15,-0.43,-0.48,-1.23,-3
"gene669",0.04,2.58,0.5,3.07,1.82,0.93,2.3,0.88,2.38,0.69,2.2,0.41,1.45,1.75,1.73,-0.01,1.97,2.15,2.23,0.29,1.42,1.48,1.64,0.91,1.26
"gene670",1.67,-1.86,0.12,-0.38,-1.9,-1.24,0.38,1.26,-0.56,-0.35,0.41,0.04,0.53,0.08,0.06,0.03,-0.4,1.02,0.88,0.12,1.33,1.44,0.6,0.43,-1.33
"gene671",0.4,-1.35,0.95,-0.52,0.09,-0.2,0.59,-0.21,-1.92,-1.06,-0.82,0.61,0.95,1.58,1.39,-2.27,0.35,-0.43,-0.55,0.94,0.77,-0.69,0.56,-1.04,0.07
"gene672",-0.89,0.04,-0.78,0.08,0.68,0.3,-0.46,-1.6,-1.47,1.17,0.4,-0.02,-1.27,0.16,0.24,1.54,0.22,0.17,-0.32,0.82,0.36,0.06,0.52,2.03,-0.48
"gene673",1.96,-0.29,-1.08,-0.17,-0.91,-1.04,0.43,-1.02,1.56,0.23,-1.57,0.03,-0.05,-0.04,0.32,0.13,0.7,0.45,-0.75,0.76,0.66,-1.69,-0.69,0.81,0.83
"gene674",1.38,-0.47,-1.08,1.04,-0.34,-0.9,-1.81,1.27,-0.3,0.92,0.92,1.19,0.87,-0.85,-1.49,-0.84,-1.29,-0.83,-0.83,-1.41,-0.29,-0.64,-1.78,0.64,1.87
"gene675",0.71,2.26,1.1,0,0.78,1.25,-0.39,0.34,-0.61,1.16,0.77,0.65,0.49,-0.08,-0.31,1.62,0.32,-0.23,-0.41,0.17,-0.6,0.99,-1.19,-0.96,-0.73
"gene676",-0.22,0.43,-2.03,-1.05,1.86,-1.49,0.42,0.11,-1.25,0.73,-0.53,1.59,-1.08,0.14,-1.93,0.04,0.21,0.22,0.77,-0.45,1.18,-0.82,0.58,-0.64,1.3
"gene677",1.2,-0.86,0.72,-1.82,0.83,1.98,1.15,0,-0.9,0.39,0.37,1.23,-0.05,1.53,2.12,-0.21,-0.07,0.99,2.26,1.57,0.12,-2.43,1.9,0.6,1.07
"gene678",-1.26,-1.58,0.78,-0.55,-0.24,-0.32,2.15,1.21,-0.61,1.08,0.12,2.03,2.25,-0.5,-0.73,-0.97,-0.21,-0.6,-0.84,0.11,-0.05,1.82,-0.38,1.43,-2.03
"gene679",0.22,0.03,-0.4,-0.47,1.13,-1.67,0.86,-0.48,0.46,1.35,1.61,0.42,-0.78,-0.56,1.68,-0.18,-0.35,1.12,-0.79,-0.34,1.21,1.18,1.58,-1.26,1.48
"gene680",-0.42,1.69,0.57,-0.53,2.34,0,-0.56,-1.17,-0.94,0.83,1.2,-0.7,2.42,-0.4,-0.73,0.44,-0.03,-0.31,-0.45,-0.6,-0.35,-1.85,-1.16,-0.56,0.23
"gene681",0,-0.9,0.32,0.11,0.77,-0.97,-0.54,0.77,-1.31,0.33,-0.08,-0.49,-0.33,0.12,-0.23,-1.3,-1.23,-0.32,-0.27,-0.49,-3.62,0.29,1.86,-1,0.44
"gene682",0.66,-0.41,-0.7,0.35,-0.11,-0.62,1.21,0.55,0.56,1.43,1.05,1.34,0.13,2.34,-1.97,1.44,0.05,-0.45,-0.87,1.26,-0.13,0.17,-0.17,0.78,-0.6
"gene683",1,-0.62,0.21,0.56,-0.4,0.5,0.65,2.62,-2.19,-1.37,0.06,-0.54,0.35,-0.97,-0.68,-1.2,-0.27,-2.04,-0.59,0.47,-1.39,0.36,0.23,-0.08,-0.39
"gene684",-0.05,-0.25,-1.47,-0.27,0.25,0.18,-0.67,0.31,-1.22,1.67,1.95,0.22,-1.43,-1.18,-0.91,-0.37,-0.83,0.71,-0.23,0.72,1.08,0.59,-0.56,-0.54,0.63
"gene685",0.13,-2.01,-2.32,-0.16,-1.14,0.91,0.43,0.16,-0.45,-0.36,1.02,1.66,2.05,0,-0.38,1.96,1.78,0.35,-1.11,-0.42,1.06,1.78,0.34,0,-0.49
"gene686",-1.34,-1.77,0.29,-0.94,1.78,0.31,-0.89,1.3,1.14,0.14,-0.14,-0.12,0.2,0.03,-0.79,0.19,-0.51,1.45,-0.2,-0.56,-0.12,-1.53,2.44,-0.92,-0.38
"gene687",0.36,-1.49,0.27,-0.33,0.88,1.24,-0.02,-0.39,-0.56,-0.12,-0.44,-0.55,1.98,-1,-2.1,1.61,0.42,0.21,-0.61,-0.56,-0.3,0.28,-0.35,0.4,1.1
"gene688",-1.19,-1.63,0.06,0.83,0.48,1.04,0.8,0.9,0.72,1.19,-1.4,1.13,0.54,-0.74,0.67,-0.33,-0.11,1.42,1.35,-0.57,0.7,1.18,0.15,-0.07,-1.03
"gene689",-0.6,1.34,-1.54,0.74,-0.15,0.94,-0.98,0.75,0.51,0.23,1.54,-0.14,0,1.68,-0.69,-0.1,1.3,-0.63,-0.09,0.64,-0.75,-1.47,-0.65,-0.59,-1.47
"gene690",-0.51,-0.54,-0.57,-0.89,0.71,1.48,1.51,-0.35,-1.04,0.3,-0.17,-0.63,0.84,0.22,2.14,0.27,0.01,0.49,0.24,-0.91,-0.44,-0.17,1.06,-1.21,-1.12
"gene691",-1.41,-1.04,1.88,-0.91,-0.26,-0.78,0.26,0.54,-0.2,1.72,-0.99,1.15,0.88,-0.66,0.67,0.13,0.36,1.06,-1.05,2.48,-0.09,-1.59,0.77,-0.08,2.38
"gene692",0.92,-0.29,-0.21,-0.53,-1.64,0.14,-1.07,-0.21,-0.35,-0.45,0,2.24,1.07,0.24,0.16,-1.82,0.29,0.87,0.63,-1.21,-1.4,1.05,0.23,-0.89,-0.97
"gene693",-0.08,0.33,-0.59,-1.1,-0.34,0.77,1.54,0.29,0.25,-0.56,-0.61,1.48,1.69,-0.84,0.95,-0.27,0.9,1.77,0.14,1.41,0.56,-0.07,-0.99,-0.24,-1.26
"gene694",0.1,0.97,-1.1,1.44,-1.35,-0.14,0.15,-0.86,-2.25,0.01,-0.39,1.47,0.08,1.1,1.03,-0.06,-1.23,0.12,0.49,-1.58,0.4,0.19,0.48,-1.37,-0.33
"gene695",0.44,1.32,0.25,0.06,0.62,-0.25,0.23,0.62,-0.03,-0.83,1.7,-1,0.03,-0.62,-0.11,-0.47,-0.94,-0.85,0.44,0.73,-0.24,-0.78,-0.43,0.78,2.51
"gene696",-0.39,0.35,-0.85,-0.05,1.76,-0.1,2.66,-0.34,1.37,0.69,0.04,0.76,-2.16,3.08,0.88,-2.09,0.65,-0.18,0.75,0.78,0.28,0.09,0.05,1.13,-0.19
"gene697",1.29,1.15,0.48,-0.81,2.23,-0.92,0.09,-0.22,0.68,0.69,-1.42,1.35,-0.97,1.54,-0.99,-1.23,0,-0.58,0.46,0.7,1.66,-0.5,0.77,0.43,-0.41
"gene698",1.02,0.78,-0.33,1.09,1.48,-0.55,1.08,-0.21,-1.8,1.14,0.35,-0.34,-0.12,1.83,-0.34,-1.57,0.71,0.87,-0.44,-1.09,-2.25,1.23,0.24,-0.61,1.7
"gene699",1.09,1.23,-0.54,0.88,-1.86,1.19,-0.44,-0.47,0.35,-2.28,-0.61,-1.01,0.54,0,2.37,0.92,0.85,-2.12,-1.51,1.68,-0.7,-0.81,0.84,-0.35,0.34
"gene700",1.86,1.8,-0.31,-1.02,-1,0.74,0.67,1.36,0.79,-0.73,-0.05,-0.48,1.31,1.25,-1.96,-0.34,0.29,-1.24,-1.72,-2.67,0.34,0.11,0.31,0.97,0.99
"gene701",-1.25,-0.9,-0.04,-0.85,-0.37,-0.15,0.49,0.07,0.3,0.08,1.03,-0.83,-2.25,0.78,-0.2,0.31,-0.91,0.83,-1.82,0.3,-1.23,0.93,0.73,0.08,1.24
"gene702",0.15,0.69,0.13,1.44,0.09,1.93,-0.34,-1.7,-0.53,-1.19,-0.65,0.23,-0.07,-0.26,-0.67,-0.7,-0.87,0.42,0.33,-0.18,0.08,0.32,-0.1,0.25,-0.57
"gene703",-0.17,-1.53,-1.08,0.37,-1.54,-0.58,1.48,-1.15,-0.59,-0.79,-0.81,-1.09,0.14,-0.48,0.55,-2.06,1.28,-0.87,0.73,0.58,-0.39,0.86,0.86,-0.78,-0.26
"gene704",1.92,0.96,-1.77,-1.81,-0.69,-0.65,-1.04,0.27,-0.73,-0.77,1.36,0.03,-0.31,0.33,-0.35,1.85,-1.63,-0.79,0.95,0.71,0.31,0.09,0.59,0.71,1.68
"gene705",-1.71,-1.53,-0.01,-1.46,0.62,-1.52,0.11,0.06,-0.15,-1.06,0.97,-0.26,0.08,0.64,-0.54,0.82,-0.98,-0.25,0.49,1.11,-1.63,0.03,0.1,1.72,0.1
"gene706",0.75,0.88,-0.27,0.91,-0.28,0.96,-0.43,0.98,-0.11,-0.36,-1.56,-0.39,0.37,-1,0.4,0.16,-0.24,1.64,0.14,1.9,1.83,0.44,1.52,-0.6,0.66
"gene707",-0.44,0.45,-0.74,0.53,-0.92,-0.55,-0.75,-1.4,-0.2,0.95,1.64,-1.89,-0.82,0.23,-1.41,-0.91,-0.61,-0.96,1.08,0.17,-0.33,-0.9,-2.95,0.27,0.12
"gene708",0.41,1.6,-1.08,-0.86,0.86,-0.86,-0.02,-0.33,0.41,-0.09,0.35,0.15,0,-1.84,0.04,-2.82,-0.42,-1.18,-0.18,-0.82,-0.22,-1.14,-1.18,0.86,1.49
"gene709",1.31,0.98,2.56,0.71,1.02,0.34,0.04,0.65,0.21,1.66,2.75,1.99,0.48,-1.41,-1.64,-0.41,-0.67,0.72,1.42,-0.36,-0.2,-0.29,-0.49,-0.93,2.35
